"Rank","Player","Team","Bye","POS","Sleeper","RTSports","AVG","Real-Time (?)"
"274","Harold Fannin Jr.","CLE","9","TE36","246","292","269.0",""
"275","Brandon McManus","GB","5","K14","","229","229.0","264  +11"
"276","Noah Gray","KC","10","TE37","260","283","271.5",""
"277","Sean Tucker","TB","9","RB82","","237","237.0","245  +32"
"278","New England Patriots","DST","14","DST21","248","300","274.0","253  +25"
"279","Tennessee Titans","DST","10","DST22","240","","240.0",""
"280","Cam Little","JAC","8","K15","","240","240.0","204  +76"
"281","Matt Gay","WAS","12","K16","","241","241.0","221  +60"
"282","Kirk Cousins","ATL","5","QB36","300","251","275.5",""
"283","Spencer Rattler","NO","11","QB37","","242","242.0",""
"284","Jalen Coker","CAR","14","WR90","242","334","288.0","247  +37"
"285","Arizona Cardinals","DST","8","DST23","","243","243.0","202  +83"
"286","Andrei Iosivas","CIN","10","WR91","288","265","276.5","265  +21"
"287","Ray-Ray McCloud III","ATL","5","WR92","","244","244.0",""
"288","Brandin Cooks","NO","11","WR93","269","289","279.0",""
"289","Troy Franklin","DEN","12","WR94","304","255","279.5","263  +26"
"290","Younghoe Koo","ATL","5","K17","277","282","279.5","213  +77"
"291","Calvin Austin III","PIT","5","WR95","249","312","280.5","271  +20"
"292","Antonio Gibson","NE","14","RB83","303","260","281.5",""
"293","Jalen Milroe","SEA","8","QB38","262","301","281.5",""
"294","A.J. Dillon","PHI","9","RB84","","257","257.0",""
"295","Olamide Zaccheaus","CHI","5","WR96","","261","261.0",""
"296","Xavier Restrepo","TEN","10","WR97","261","","261.0",""
"297","Devin Singletary","NYG","14","RB85","294","277","285.5",""
"298","Dameon Pierce","HOU","6","RB86","","262","262.0","256  +42"
"299","Diontae Johnson","CLE","9","WR98","263","331","297.0","259  +40"
"300","Chicago Bears","DST","5","DST24","","266","266.0","189  +111"
"301","Kayshon Boutte","NE","14","WR99","291","285","288.0",""
"302","Jimmy Garoppolo","LAR","8","QB39","","268","268.0",""
"303","Cleveland Browns","DST","9","DST25","","270","270.0","207  +96"
"304","Taysom Hill","NO","11","TE38","273","308","290.5",""
"305","Audric Estime","","","RB87","271","318","294.5",""
"306","Malik Washington","MIA","12","WR100","","273","273.0",""
"307","Noah Fant","CIN","10","TE39","274","333","303.5",""
"308","Jalen Tolbert","DAL","10","WR101","305","280","292.5",""
"309","Daniel Carlson","LV","8","K18","308","281","294.5","234  +75"
"310","Jordan Whittington","LAR","8","WR102","282","339","310.5",""
"311","Oronde Gadsden II","LAC","12","TE40","283","325","304.0",""
"312","Noah Brown","WAS","12","WR103","","284","284.0",""
"313","Ben Sinnott","WAS","12","TE41","285","343","314.0",""
"314","Samaje Perine","CIN","10","RB88","","287","287.0",""
"315","Ty Johnson","BUF","7","RB89","","288","288.0",""
"316","Christian Watson","GB","5","WR104","289","","289.0",""
"317","Tutu Atwell","LAR","8","WR105","290","319","304.5",""
"318","KeAndre Lambert-Smith","LAC","12","WR106","","291","291.0",""
"319","Indianapolis Colts","DST","11","DST26","292","","292.0",""
"320","Las Vegas Raiders","DST","8","DST27","293","","293.0",""
"321","Will Reichard","MIN","6","K19","","293","293.0","250  +71"
"322","Cincinnati Bengals","DST","10","DST28","","294","294.0","201  +121"
"323","Tyler Higbee","LAR","8","TE42","302","303","302.5",""
"324","Jacksonville Jaguars","DST","8","DST29","296","","296.0",""
"325","Efton Chism III","NE","14","WR107","","296","296.0",""
"326","Khalil Herbert","IND","11","RB90","297","","297.0",""
"327","New Orleans Saints","DST","11","DST30","298","","298.0",""
"328","Jake Moody","SF","14","K20","","298","298.0","280  +48"
"329","Tanner McKee","PHI","9","QB40","","299","299.0",""
"330","Marquez Valdes-Scantling","SEA","8","WR108","299","335","317.0",""
"331","Damien Martinez","SEA","8","RB91","301","329","315.0",""
"332","Tre Tucker","LV","8","WR109","","305","305.0",""
"333","Curtis Samuel","BUF","7","WR110","306","","306.0",""
"334","Mitchell Tinsley","CIN","10","WR111","","306","306.0",""
"335","Isaiah Bond","CLE","9","WR112","","307","307.0",""
"336","Jalen Nailor","MIN","6","WR113","","310","310.0",""
"337","Joshua Karty","LAR","8","K21","","311","311.0","249  +88"
"338","Demarcus Robinson","SF","14","WR114","","316","316.0",""
"339","Emanuel Wilson","GB","5","RB92","","317","317.0",""
"340","Kenneth Gainwell","PIT","5","RB93","","320","320.0",""
"341","KaVontae Turpin","DAL","10","WR115","","321","321.0",""
"342","Cam Akers","","","RB94","","324","324.0",""
"343","LeQuint Allen Jr.","JAC","8","RB95","","327","327.0",""
"344","Devaughn Vele","NO","11","WR116","","328","328.0",""
"345","Elijah Moore","BUF","7","WR117","","330","330.0",""
"346","Jermaine Burton","CIN","10","WR118","","332","332.0",""
"347","Jaylin Lane","WAS","12","WR119","","336","336.0",""
"348","Tai Felton","MIN","6","WR120","","337","337.0",""
"349","Isaiah Davis","NYJ","9","RB96","","338","338.0",""
"350","Parker Washington","JAC","8","WR121","","340","340.0",""
"351","Jameis Winston","NYG","14","QB41","","341","341.0",""
"352","Kimani Vidal","LAC","12","RB97","","342","342.0",""
"353","Phil Mafah","DAL","10","RB98","","344","344.0",""
""
""
